source_part_id,part_name,total,correct,hit_rate,landed_distribution
39,car's license plate,80,0,0.0,car's window:0.4750(38); NONE:0.4625(37); car's back:0.0250(2); car's door:0.0125(1); car's front:0.0125(1); car's side:0.0125(1)
40,car's door,80,2,0.025,NONE:0.4500(36); car's front:0.2375(19); car's back:0.1500(12); car's headlight:0.0750(6); car's side:0.0625(5); car's door:0.0250(2)
41,car's window,80,0,0.0,NONE:0.4375(35); car's side:0.2000(16); car's front:0.1750(14); car's back:0.1000(8); car's door:0.0750(6); car's wheel:0.0125(1)
42,cat's tail,85,0,0.0,cat's torso:0.6471(55); cat's leg:0.2235(19); NONE:0.1059(9); cat's neck:0.0118(1); cat's head:0.0118(1)
43,cat's head,85,47,0.5529411764705883,cat's head:0.5529(47); cat's torso:0.2471(21); cat's neck:0.1059(9); NONE:0.0941(8)
44,cat's eye,85,0,0.0,cat's head:0.5882(50); cat's nose:0.3059(26); NONE:0.0471(4); cat's ear:0.0235(2); cat's torso:0.0235(2); cat's neck:0.0118(1)
45,cat's torso,85,75,0.8823529411764706,cat's torso:0.8824(75); NONE:0.0706(6); cat's head:0.0235(2); cat's neck:0.0118(1); cat's leg:0.0118(1)
46,cat's neck,85,3,0.03529411764705882,cat's head:0.8000(68); NONE:0.0824(7); cat's torso:0.0588(5); cat's neck:0.0353(3); cat's ear:0.0235(2)
47,cat's leg,85,20,0.23529411764705882,cat's torso:0.5176(44); cat's leg:0.2353(20); NONE:0.1176(10); cat's tail:0.0941(8); cat's head:0.0353(3)
48,cat's nose,85,0,0.0,cat's ear:0.8588(73); NONE:0.0706(6); cat's head:0.0588(5); cat's torso:0.0118(1)
49,cat's paw,85,52,0.611764705882353,cat's paw:0.6118(52); cat's leg:0.1765(15); cat's torso:0.0824(7); NONE:0.0706(6); cat's tail:0.0235(2); cat's head:0.0235(2); cat's neck:0.0118(1)
50,cat's ear,85,0,0.0,cat's torso:0.6235(53); cat's neck:0.1882(16); cat's head:0.0824(7); NONE:0.0824(7); cat's leg:0.0235(2)
51,cow's tail,45,0,0.0,cow's torso:0.8000(36); NONE:0.1556(7); cow's neck:0.0444(2)
52,cow's head,45,9,0.2,NONE:0.3333(15); cow's torso:0.2667(12); cow's head:0.2000(9); cow's muzzle:0.2000(9)
53,cow's eye,45,0,0.0,cow's muzzle:0.7556(34); NONE:0.1556(7); cow's torso:0.0444(2); cow's head:0.0444(2)
54,cow's torso,45,34,0.7555555555555555,cow's torso:0.7556(34); NONE:0.2000(9); cow's head:0.0222(1); cow's neck:0.0222(1)
55,cow's neck,45,3,0.06666666666666667,cow's head:0.7556(34); cow's torso:0.0889(4); NONE:0.0889(4); cow's neck:0.0667(3)
56,cow's leg,45,12,0.26666666666666666,NONE:0.3778(17); cow's torso:0.2889(13); cow's leg:0.2667(12); cow's muzzle:0.0444(2); cow's head:0.0222(1)
57,cow's ear,45,0,0.0,cow's torso:0.7556(34); NONE:0.1111(5); cow's neck:0.0667(3); cow's head:0.0444(2); cow's leg:0.0222(1)
58,cow's muzzle,45,0,0.0,cow's ear:0.6000(27); NONE:0.1556(7); cow's head:0.1111(5); cow's torso:0.0889(4); cow's neck:0.0444(2)
59,cow's horn,45,2,0.044444444444444446,cow's leg:0.4889(22); NONE:0.2444(11); cow's head:0.1333(6); cow's torso:0.0889(4); cow's horn:0.0444(2)
60,dog's tail,81,0,0.0,dog's torso:0.6914(56); dog's leg:0.2222(18); NONE:0.0741(6); dog's ear:0.0123(1)
61,dog's head,81,31,0.38271604938271603,dog's head:0.3827(31); dog's neck:0.1975(16); dog's torso:0.1728(14); dog's muzzle:0.1235(10); NONE:0.0741(6); dog's ear:0.0370(3); dog's leg:0.0123(1)
62,dog's eye,81,0,0.0,dog's muzzle:0.4568(37); dog's nose:0.4198(34); NONE:0.0864(7); dog's head:0.0370(3)
63,dog's torso,81,62,0.7654320987654321,dog's torso:0.7654(62); NONE:0.1605(13); dog's head:0.0617(5); dog's tail:0.0123(1)
64,dog's neck,81,2,0.024691358024691357,dog's head:0.7654(62); NONE:0.0864(7); dog's ear:0.0617(5); dog's torso:0.0494(4); dog's neck:0.0247(2); dog's tail:0.0123(1)
65,dog's leg,81,30,0.37037037037037035,dog's torso:0.3827(31); dog's leg:0.3704(30); NONE:0.1728(14); dog's ear:0.0247(2); dog's head:0.0123(1); dog's tail:0.0123(1); dog's paw:0.0123(1); dog's muzzle:0.0123(1)
66,dog's nose,81,0,0.0,dog's head:0.7160(58); dog's eye:0.1605(13); NONE:0.0741(6); dog's ear:0.0247(2); dog's neck:0.0123(1); dog's muzzle:0.0123(1)
67,dog's paw,81,42,0.5185185185185185,dog's paw:0.5185(42); dog's leg:0.1728(14); NONE:0.1605(13); dog's torso:0.1235(10); dog's ear:0.0123(1); dog's head:0.0123(1)
68,dog's ear,81,0,0.0,dog's torso:0.7037(57); NONE:0.0988(8); dog's neck:0.0741(6); dog's head:0.0741(6); dog's leg:0.0370(3); dog's paw:0.0123(1)
69,dog's muzzle,81,0,0.0,dog's ear:0.7037(57); dog's head:0.1358(11); NONE:0.0741(6); dog's torso:0.0617(5); dog's neck:0.0247(2)
70,horse's tail,49,0,0.0,horse's torso:0.6327(31); NONE:0.2245(11); horse's leg:0.0816(4); horse's neck:0.0408(2); horse's head:0.0204(1)
71,horse's head,49,23,0.46938775510204084,horse's head:0.4694(23); NONE:0.2245(11); horse's neck:0.1633(8); horse's torso:0.1224(6); horse's muzzle:0.0204(1)
72,horse's eye,49,0,0.0,horse's muzzle:0.7755(38); NONE:0.2041(10); horse's torso:0.0204(1)
73,horse's torso,49,33,0.673469387755102,horse's torso:0.6735(33); NONE:0.2449(12); horse's neck:0.0408(2); horse's muzzle:0.0204(1); horse's head:0.0204(1)
74,horse's neck,49,9,0.1836734693877551,horse's head:0.4082(20); NONE:0.1837(9); horse's neck:0.1837(9); horse's torso:0.1837(9); horse's tail:0.0408(2)
75,horse's leg,49,25,0.5102040816326531,horse's leg:0.5102(25); NONE:0.2245(11); horse's torso:0.1429(7); horse's neck:0.0408(2); horse's tail:0.0408(2); horse's muzzle:0.0408(2)
76,horse's ear,49,0,0.0,horse's torso:0.5918(29); NONE:0.2041(10); horse's neck:0.1837(9); horse's leg:0.0204(1)
77,horse's muzzle,49,0,0.0,horse's ear:0.5510(27); NONE:0.2653(13); horse's head:0.1020(5); horse's neck:0.0612(3); horse's tail:0.0204(1)
78,horse's hoof,49,10,0.20408163265306123,horse's leg:0.3469(17); NONE:0.2857(14); horse's hoof:0.2041(10); horse's muzzle:0.1224(6); horse's neck:0.0204(1); horse's torso:0.0204(1)
79,motorbike's wheel,52,29,0.5576923076923077,motorbike's wheel:0.5577(29); NONE:0.4423(23)
80,motorbike's saddle,52,0,0.0,NONE:0.8846(46); motorbike's wheel:0.1154(6)
81,motorbike's handlebar,52,1,0.019230769230769232,NONE:0.9615(50); motorbike's handlebar:0.0192(1); motorbike's headlight:0.0192(1)
82,motorbike's headlight,52,0,0.0,NONE:0.8654(45); motorbike's wheel:0.1346(7)
83,person's head,245,8,0.0326530612244898,NONE:0.6653(163); person's torso:0.1633(40); person's leg:0.0490(12); person's neck:0.0449(11); person's head:0.0327(8); person's upper arm:0.0245(6); person's lower arm:0.0122(3); person's hair:0.0041(1); person's hand:0.0041(1)
84,person's eye,245,0,0.0,NONE:0.6367(156); person's head:0.2163(53); person's nose:0.0735(18); person's mouth:0.0449(11); person's torso:0.0122(3); person's hand:0.0082(2); person's hair:0.0041(1); person's leg:0.0041(1)
85,person's torso,245,58,0.23673469387755103,NONE:0.6286(154); person's torso:0.2367(58); person's upper arm:0.0612(15); person's leg:0.0408(10); person's hair:0.0122(3); person's neck:0.0082(2); person's hand:0.0082(2); person's lower arm:0.0041(1)
86,person's neck,245,0,0.0,NONE:0.6122(150); person's hair:0.2449(60); person's head:0.1143(28); person's upper arm:0.0082(2); person's torso:0.0082(2); person's lower arm:0.0041(1); person's hand:0.0041(1); person's ear:0.0041(1)
87,person's leg,245,28,0.11428571428571428,NONE:0.6776(166); person's leg:0.1143(28); person's torso:0.0857(21); person's foot:0.0694(17); person's upper arm:0.0204(5); person's lower arm:0.0163(4); person's hand:0.0082(2); person's neck:0.0041(1); person's head:0.0041(1)
88,person's foot,245,15,0.061224489795918366,NONE:0.6531(160); person's leg:0.1878(46); person's foot:0.0612(15); person's torso:0.0367(9); person's lower arm:0.0204(5); person's upper arm:0.0163(4); person's hand:0.0122(3); person's neck:0.0122(3)
89,person's nose,245,0,0.0,NONE:0.5918(145); person's head:0.2204(54); person's hair:0.0816(20); person's ear:0.0612(15); person's neck:0.0163(4); person's hand:0.0122(3); person's torso:0.0122(3); person's upper arm:0.0041(1)
90,person's ear,245,0,0.0,NONE:0.6122(150); person's torso:0.3469(85); person's upper arm:0.0286(7); person's neck:0.0041(1); person's lower arm:0.0041(1); person's hand:0.0041(1)
91,person's eyebrow,245,0,0.0,NONE:0.6408(157); person's torso:0.2122(52); person's leg:0.0490(12); person's upper arm:0.0327(8); person's lower arm:0.0163(4); person's hand:0.0163(4); person's head:0.0163(4); person's foot:0.0122(3); person's neck:0.0041(1)
92,person's mouth,245,0,0.0,NONE:0.6571(161); person's upper arm:0.2531(62); person's torso:0.0449(11); person's lower arm:0.0327(8); person's hair:0.0082(2); person's hand:0.0041(1)
93,person's hair,245,1,0.004081632653061225,NONE:0.6490(159); person's torso:0.1510(37); person's hand:0.0612(15); person's leg:0.0531(13); person's lower arm:0.0367(9); person's upper arm:0.0327(8); person's head:0.0082(2); person's neck:0.0041(1); person's hair:0.0041(1)
94,person's lower arm,245,4,0.0163265306122449,NONE:0.6571(161); person's leg:0.2122(52); person's torso:0.0612(15); person's upper arm:0.0327(8); person's lower arm:0.0163(4); person's hand:0.0122(3); person's head:0.0041(1); person's foot:0.0041(1)
95,person's upper arm,245,10,0.04081632653061224,NONE:0.6367(156); person's torso:0.1102(27); person's leg:0.0898(22); person's upper arm:0.0408(10); person's hair:0.0367(9); person's lower arm:0.0327(8); person's foot:0.0204(5); person's head:0.0163(4); person's hand:0.0122(3); person's neck:0.0041(1)
96,person's hand,245,42,0.17142857142857143,NONE:0.6041(148); person's hand:0.1714(42); person's lower arm:0.1510(37); person's upper arm:0.0408(10); person's leg:0.0122(3); person's torso:0.0122(3); person's neck:0.0082(2)
97,pottedplant's pot,48,24,0.5,pottedplant's pot:0.5000(24); NONE:0.4375(21); pottedplant's plant:0.0625(3)
98,pottedplant's plant,48,21,0.4375,NONE:0.5208(25); pottedplant's plant:0.4375(21); pottedplant's pot:0.0417(2)
99,sheep's tail,35,0,0.0,sheep's torso:0.5714(20); NONE:0.3714(13); sheep's leg:0.0571(2)
100,sheep's head,35,11,0.3142857142857143,NONE:0.4000(14); sheep's head:0.3143(11); sheep's neck:0.1429(5); sheep's torso:0.1429(5)
101,sheep's eye,35,0,0.0,sheep's muzzle:0.6286(22); NONE:0.3429(12); sheep's torso:0.0286(1)
102,sheep's torso,35,22,0.6285714285714286,sheep's torso:0.6286(22); NONE:0.3714(13)
103,sheep's neck,35,1,0.02857142857142857,sheep's head:0.4571(16); NONE:0.3714(13); sheep's torso:0.1143(4); sheep's horn:0.0286(1); sheep's neck:0.0286(1)
104,sheep's leg,35,5,0.14285714285714285,NONE:0.5429(19); sheep's torso:0.2571(9); sheep's leg:0.1429(5); sheep's muzzle:0.0286(1); sheep's tail:0.0286(1)
105,sheep's ear,35,0,0.0,sheep's torso:0.4286(15); NONE:0.3429(12); sheep's neck:0.2286(8)
106,sheep's muzzle,35,0,0.0,sheep's ear:0.4571(16); NONE:0.4286(15); sheep's head:0.0571(2); sheep's torso:0.0286(1); sheep's horn:0.0286(1)
107,sheep's horn,35,0,0.0,NONE:0.6857(24); sheep's leg:0.2571(9); sheep's torso:0.0571(2)
108,train's headlight,51,0,0.0,train's side:0.3725(19); train's front:0.2157(11); NONE:0.1765(9); train's coach:0.1569(8); train's back:0.0392(2); train's roof:0.0196(1); train's head:0.0196(1)
109,train's head,51,1,0.0196078431372549,train's side:0.4118(21); train's front:0.2549(13); train's coach:0.1373(7); NONE:0.1373(7); train's head:0.0196(1); train's back:0.0196(1); train's roof:0.0196(1)
110,train's front,51,8,0.1568627450980392,train's side:0.4510(23); train's coach:0.2157(11); train's front:0.1569(8); NONE:0.1373(7); train's back:0.0196(1); train's headlight:0.0196(1)
111,train's side,51,24,0.47058823529411764,train's side:0.4706(24); train's coach:0.1961(10); train's front:0.1569(8); NONE:0.1373(7); train's back:0.0196(1); train's head:0.0196(1)
112,train's back,51,1,0.0196078431372549,train's side:0.3137(16); train's front:0.1961(10); train's coach:0.1569(8); train's head:0.1176(6); train's roof:0.0980(5); NONE:0.0980(5); train's back:0.0196(1)
113,train's roof,51,1,0.0196078431372549,train's front:0.3529(18); train's side:0.1961(10); train's coach:0.1765(9); NONE:0.1765(9); train's head:0.0588(3); train's back:0.0196(1); train's roof:0.0196(1)
114,train's coach,51,10,0.19607843137254902,train's side:0.3922(20); train's front:0.2941(15); train's coach:0.1961(10); NONE:0.0980(5); train's back:0.0196(1)
115,tvmonitor's screen,42,16,0.38095238095238093,NONE:0.6190(26); tvmonitor's screen:0.3810(16)
